TimeStamp [µs],47 (ID=0) [pV],48 (ID=1) [pV],46 (ID=2) [pV],45 (ID=3) [pV],38 (ID=4) [pV],37 (ID=5) [pV],28 (ID=6) [pV],36 (ID=7) [pV],27 (ID=8) [pV],17 (ID=9) [pV],26 (ID=10) [pV],16 (ID=11) [pV],35 (ID=12) [pV],25 (ID=13) [pV],Ref (ID=14) [pV],14 (ID=15) [pV],24 (ID=16) [pV],34 (ID=17) [pV],13 (ID=18) [pV],23 (ID=19) [pV],12 (ID=20) [pV],22 (ID=21) [pV],33 (ID=22) [pV],21 (ID=23) [pV],32 (ID=24) [pV],31 (ID=25) [pV],44 (ID=26) [pV],43 (ID=27) [pV],41 (ID=28) [pV],42 (ID=29) [pV],52 (ID=30) [pV],51 (ID=31) [pV],53 (ID=32) [pV],54 (ID=33) [pV],61 (ID=34) [pV],62 (ID=35) [pV],71 (ID=36) [pV],63 (ID=37) [pV],72 (ID=38) [pV],82 (ID=39) [pV],73 (ID=40) [pV],83 (ID=41) [pV],64 (ID=42) [pV],74 (ID=43) [pV],84 (ID=44) [pV],85 (ID=45) [pV],75 (ID=46) [pV],65 (ID=47) [pV],86 (ID=48) [pV],76 (ID=49) [pV],87 (ID=50) [pV],77 (ID=51) [pV],66 (ID=52) [pV],78 (ID=53) [pV],67 (ID=54) [pV],68 (ID=55) [pV],55 (ID=56) [pV],56 (ID=57) [pV],58 (ID=58) [pV],57 (ID=59) [pV]
3000,4708795,5543265,3814720,-3814720,2264990,2086175,2026570,7271810,4708795,-774865,3278275,4351165,2920645,1311310,-1192100,1847755,4291560,3039855,2801435,2205385,3039855,1668940,1788150,5126030,3874325,-16272165,4053140,655655,298025,2264990,4053140,2801435,3993535,3635905,3755115,4768400,2861040,8165885,2920645,5185635,0,774865,2443805,3099460,3874325,1370915,1668940,2384200,4053140,3874325,3099460,3516695,4291560,5245240,178815,2443805,4410770,4351165,5364450,3635905
3100,6139315,8642725,10252060,5483660,6139315,6139315,9119565,11682580,10430875,6496945,4291560,7510230,8583120,7391020,-1549730,6496945,7092995,7689045,8881145,6377735,9715615,9059960,10848110,9834825,6198920,-18298735,10609690,5900895,9536800,7212205,6020105,7927465,6973785,8702330,9477195,10788505,7569835,8940750,3814720,10371270,8165885,6854575,9298380,8046675,7808255,9417590,10013640,8583120,10013640,9119565,9656010,7867860,11861395,10550085,6377735,8106280,8225490,8344700,7808255,7271810
3200,774865,1668940,3814720,-2145780,1847755,4112745,2682225,7927465,2026570,1609335,834470,417235,5424055,1966965,-357630,2026570,3755115,-417235,1251705,5602870,3755115,1192100,3993535,-2026570,3099460,-20742540,2980250,3218670,4529980,894075,2086175,1788150,2145780,2563015,3159065,3814720,59605,238420,298025,5662475,3278275,4351165,2801435,1966965,715260,2384200,4112745,2682225,4231955,1490125,1370915,3635905,5185635,5126030,2384200,1668940,1490125,536445,1549730,1788150
3300,-1132495,-1370915,-1966965,-7987070,-834470,-1549730,-238420,9298380,-238420,-2563015,-1609335,655655,655655,-2861040,-357630,-774865,1490125,2384200,-1311310,178815,-238420,-2503410,596050,-1728545,-894075,-22351875,-1192100,-1072890,357630,119210,1370915,476840,-834470,-2563015,-476840,-2741830,-238420,1013285,-2622620,1788150,-834470,1370915,-357630,1251705,715260,-417235,-774865,357630,715260,-3218670,596050,-119210,1370915,298025,-357630,-2026570,-1072890,-4768400,-2503410,-2741830
3400,-655655,357630,-2920645,6616155,-2563015,-59605,1549730,10728900,1072890,-357630,-298025,596050,-238420,-178815,-298025,-2622620,-1072890,-1668940,1192100,-298025,3755115,-1251705,-357630,-2861040,1907360,-21100170,1072890,-1072890,-417235,834470,-298025,119210,-1490125,655655,-1430520,-1549730,655655,-1072890,-2264990,1370915,-834470,-1311310,-3218670,-417235,-655655,1907360,-2264990,-3755115,-417235,-1132495,357630,119210,-119210,-178815,834470,-2384200,417235,-3397485,1072890,-2205385
3500,2563015,2443805,5304845,7450625,2920645,2920645,3218670,8046675,834470,4172350,2026570,3576300,3635905,4768400,-476840,834470,3755115,6377735,5543265,4053140,3755115,3695510,4410770,5245240,3337880,-7033390,4410770,2920645,2622620,4231955,2503410,5722080,1728545,2980250,4172350,3039855,3874325,2622620,2324595,3755115,2563015,5543265,2264990,3457090,1847755,6139315,4231955,3933930,4053140,1549730,834470,3576300,3695510,3099460,4351165,1370915,2205385,3099460,3397485,1311310
3600,357630,238420,1192100,6496945,-2026570,119210,3516695,11444160,417235,-357630,-1311310,2205385,-1311310,655655,119210,1192100,238420,4231955,1549730,774865,4768400,2026570,2086175,3516695,-238420,-894075,1907360,2980250,-834470,119210,834470,4470375,238420,1966965,1847755,-178815,-596050,-1013285,1072890,655655,-655655,3516695,715260,3814720,59605,1847755,2920645,1728545,655655,894075,298025,596050,238420,119210,1251705,-536445,596050,1490125,-596050,-774865
3700,655655,2503410,3516695,-715260,417235,2324595,1907360,-1668940,2861040,3814720,953680,4470375,357630,298025,59605,2801435,1609335,3159065,-1311310,3933930,6675760,-357630,1847755,3933930,4291560,5841290,3218670,6318130,417235,774865,715260,3933930,2264990,2264990,298025,178815,-655655,1132495,2443805,2086175,1788150,2205385,3337880,3576300,-59605,1311310,2563015,2682225,-536445,1609335,536445,2622620,655655,1728545,-178815,596050,2384200,2801435,-59605,1490125
3800,1132495,417235,-536445,-6616155,417235,417235,298025,-4053140,3993535,298025,834470,238420,1370915,-894075,-238420,953680,3695510,2920645,-2205385,1609335,2920645,3576300,2980250,4828005,3278275,-8761935,2503410,3695510,-536445,1072890,-59605,3635905,1907360,-59605,1788150,774865,-238420,3933930,2622620,2026570,1370915,1549730,1907360,119210,357630,3099460,476840,1609335,-1490125,1430520,3755115,2503410,1966965,476840,357630,774865,4172350,1609335,953680,2503410
3900,1013285,1907360,-238420,-8642725,-1668940,417235,2264990,-18119920,-596050,417235,1013285,-178815,2384200,1251705,0,894075,596050,1192100,-178815,178815,894075,-59605,-417235,4529980,5364450,-14066780,1847755,2920645,476840,4708795,-178815,3457090,-178815,894075,655655,2086175,-298025,417235,2205385,1311310,3457090,476840,1549730,119210,2980250,-953680,298025,894075,1907360,-476840,3099460,-894075,1668940,-2801435,-238420,1311310,-298025,2205385,-1966965,2682225
